gamma,learning_rate,initial_t,power_t,noise_sigma,final_ctr,time_sensitivity,timestamp
15.0,1.0,1.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 07:55:39
15.0,1.0,1.0,0.6,0.15,18.93261335142661,0.0016666666666666676,2025-02-27 07:55:43
15.0,1.0,3.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 07:55:48
15.0,1.0,3.0,0.4,0.15,18.915815339180295,0.0016666666666666676,2025-02-27 08:09:57
15.0,1.0,3.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 08:10:02
15.0,1.0,3.0,0.6,0.15,18.93377537816507,0.0016666666666666676,2025-02-27 08:10:06
30.0,0.1,1.0,0.4,0.05,19.83169641726095,0.0016666666666666676,2025-02-27 08:10:10
30.0,0.1,1.0,0.4,0.15,17.772875068170652,0.0016666666666666676,2025-02-27 08:10:14
30.0,0.1,1.0,0.6,0.05,17.97993737134417,0.005833333333333335,2025-02-27 08:10:18
30.0,0.1,1.0,0.6,0.15,18.05429229254851,0.005833333333333335,2025-02-27 08:10:21
30.0,0.1,3.0,0.4,0.05,20.74959965146154,0.025000000000000005,2025-02-27 08:10:24
30.0,0.1,3.0,0.4,0.15,19.979544382193463,0.0066666666666666706,2025-02-27 08:10:27
30.0,0.1,3.0,0.6,0.05,17.921719820168434,0.005833333333333335,2025-02-27 08:10:33
30.0,0.1,3.0,0.6,0.15,17.865966876137346,0.005833333333333335,2025-02-27 08:10:37
30.0,0.5,1.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 08:10:42
30.0,0.5,1.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 08:13:51
30.0,0.5,1.0,0.6,0.05,18.51699804208571,0.0016666666666666676,2025-02-27 08:13:53
30.0,0.5,1.0,0.6,0.15,17.664096921339983,0.0016666666666666676,2025-02-27 08:13:56
30.0,0.5,3.0,0.4,0.05,18.938784717690314,0.0016666666666666676,2025-02-27 08:13:59
30.0,0.5,3.0,0.4,0.15,18.92652081973752,0.0016666666666666676,2025-02-27 08:14:02
30.0,0.5,3.0,0.6,0.05,18.77856388198131,0.0016666666666666676,2025-02-27 08:14:07
30.0,0.5,3.0,0.6,0.15,18.912685155028644,0.0016666666666666676,2025-02-27 08:14:13
30.0,1.0,1.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 08:14:17
30.0,1.0,1.0,0.4,0.15,18.91679683757069,0.0016666666666666676,2025-02-27 08:14:20
30.0,1.0,1.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 08:14:24
30.0,1.0,1.0,0.6,0.15,18.93261335142661,0.0016666666666666676,2025-02-27 08:14:28
30.0,1.0,3.0,0.4,0.05,18.92838289083791,0.0016666666666666676,2025-02-27 08:14:33
30.0,1.0,3.0,0.4,0.15,18.915815339180295,0.0016666666666666676,2025-02-27 08:15:58
30.0,1.0,3.0,0.6,0.05,18.944647348277275,0.0016666666666666676,2025-02-27 08:16:00
30.0,1.0,3.0,0.6,0.15,18.93377537816507,0.0016666666666666676,2025-02-27 08:16:03
